election_date,election_name,report_seq,snapshot,report_datetime,ballots_counted_total,ballots_vbm,ballots_election_day,registered_voters,parser,datetime_source,source_url
2020-03-03,Presidential Primary Election,4,20200303_4,2020-03-04T00:53:02,144667,72340,72327,503899,era_c_xml,header,https://www.sfelections.org/results/20200303/data/20200303_4/summary.xml
2020-03-03,Presidential Primary Election,5,20200304,2020-03-04T16:11:41,180205,107878,72327,503899,era_c_xml,header,https://www.sfelections.org/results/20200303/data/20200304/summary.xml
2020-03-03,Presidential Primary Election,6,20200305,2020-03-05T17:29:39,240682,168355,72327,503899,era_c_xml,header,https://www.sfelections.org/results/20200303/data/20200305/summary.xml
2020-03-03,Presidential Primary Election,7,20200306,2020-03-06T16:04:41,265722,193395,72327,503899,era_c_xml,header,https://www.sfelections.org/results/20200303/data/20200306/summary.xml
2020-03-03,Presidential Primary Election,8,20200307,2020-03-07T15:58:08,275200,196839,78361,503899,era_c_xml,header,https://www.sfelections.org/results/20200303/data/20200307/summary.xml
2020-03-03,Presidential Primary Election,9,20200309,2020-03-09T16:07:31,281975,197244,84731,503899,era_c_xml,header,https://www.sfelections.org/results/20200303/data/20200309/summary.xml
2020-03-03,Presidential Primary Election,10,20200310,2020-03-10T16:09:02,292944,197516,95428,503899,era_c_xml,header,https://www.sfelections.org/results/20200303/data/20200310/summary.xml
2020-03-03,Presidential Primary Election,11,20200311,2020-03-11T15:50:56,301449,197685,103764,503899,era_c_xml,header,https://www.sfelections.org/results/20200303/data/20200311/summary.xml
2020-03-03,Presidential Primary Election,12,20200312,2020-03-12T16:20:50,304730,197947,106783,503899,era_c_xml,header,https://www.sfelections.org/results/20200303/data/20200312/summary.xml
2020-03-03,Presidential Primary Election,13,20200313,2020-03-13T16:20:49,305148,197967,107181,503899,era_c_xml,header,https://www.sfelections.org/results/20200303/data/20200313/summary.xml
2020-03-03,Presidential Primary Election,14,20200326,2020-03-26T00:00:00,305184,198000,107184,503899,era_c_xml,folder,https://www.sfelections.org/results/20200303/data/20200326/summary.xml
2020-11-03,Consolidated General Election,1,20201103_1,2020-11-03T21:03:48,321880,321880,0,521099,era_c_xml,header,https://www.sfelections.org/results/20201103/data/20201103_1/summary.xml
2020-11-03,Consolidated General Election,2,20201103_2,2020-11-03T21:57:03,345915,321880,24035,521099,era_c_xml,header,https://www.sfelections.org/results/20201103/data/20201103_2/summary.xml
2020-11-03,Consolidated General Election,3,20201103_3,2020-11-03T22:32:21,352398,321880,30518,521099,era_c_xml,header,https://www.sfelections.org/results/20201103/data/20201103_3/summary.xml
2020-11-03,Consolidated General Election,4,20201103_4,2020-11-04T00:44:46,352537,321880,30657,521099,era_c_xml,header,https://www.sfelections.org/results/20201103/data/20201103_4/summary.xml
2020-11-03,Consolidated General Election,5,20201104,2020-11-04T16:10:43,353572,322915,30657,521099,era_c_xml,header,https://www.sfelections.org/results/20201103/data/20201104/summary.xml
2020-11-03,Consolidated General Election,6,20201105,2020-11-05T15:59:19,383191,352534,30657,521099,era_c_xml,header,https://www.sfelections.org/results/20201103/data/20201105/summary.xml
2020-11-03,Consolidated General Election,7,20201106,2020-11-06T16:15:56,419050,388059,30991,521099,era_c_xml,header,https://www.sfelections.org/results/20201103/data/20201106/summary.xml
2020-11-03,Consolidated General Election,8,20201107,2020-11-07T16:21:21,437259,404446,32813,521099,era_c_xml,header,https://www.sfelections.org/results/20201103/data/20201107/summary.xml
2020-11-03,Consolidated General Election,9,20201108,2020-11-08T15:58:54,443435,407443,35992,521099,era_c_xml,header,https://www.sfelections.org/results/20201103/data/20201108/summary.xml
2020-11-03,Consolidated General Election,10,20201109,2020-11-09T16:04:13,446751,408660,38091,521099,era_c_xml,header,https://www.sfelections.org/results/20201103/data/20201109/summary.xml
2020-11-03,Consolidated General Election,11,20201110,2020-11-10T16:10:20,448485,410113,38372,521099,era_c_xml,header,https://www.sfelections.org/results/20201103/data/20201110/summary.xml
2020-11-03,Consolidated General Election,12,20201112,2020-11-12T15:49:42,448938,410514,38424,521099,era_c_xml,header,https://www.sfelections.org/results/20201103/data/20201112/summary.xml
2020-11-03,Consolidated General Election,13,20201113,2020-11-13T16:01:51,449318,410885,38433,521099,era_c_xml,header,https://www.sfelections.org/results/20201103/data/20201113/summary.xml
2020-11-03,Consolidated General Election,14,20201117,2020-11-17T16:12:04,449365,410929,38436,521099,era_c_xml,header,https://www.sfelections.org/results/20201103/data/20201117/summary.xml
2020-11-03,Consolidated General Election,15,20201119,2020-11-19T15:51:14,449558,411121,38437,521099,era_c_xml,header,https://www.sfelections.org/results/20201103/data/20201119/summary.xml
2020-11-03,Consolidated General Election,16,20201124,2020-11-24T16:01:54,449825,411373,38452,521099,era_c_xml,header,https://www.sfelections.org/results/20201103/data/20201124/summary.xml
