county_slug,election_date,election_type,ballots_mail,ballots_polling,ballots_total,vbm_share_pct,source_url,source_page_or_table,note
san_mateo,2016-11-08,general,218289,105014,323303,67.52,https://elections.cdn.sos.ca.gov/sov/2016-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
santa_clara,2016-11-08,general,534217,190379,724596,73.73,https://elections.cdn.sos.ca.gov/sov/2016-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_francisco,2016-06-07,primary,159954,105039,264993,60.36,https://elections.cdn.sos.ca.gov/sov/2016-primary/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
lake,2016-06-07,primary,11670,5042,16712,69.83,https://elections.cdn.sos.ca.gov/sov/2016-primary/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
del_norte,2016-06-07,primary,4001,2184,6185,64.69,https://elections.cdn.sos.ca.gov/sov/2016-primary/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
mendocino,2016-06-07,primary,23807,4249,28056,84.86,https://elections.cdn.sos.ca.gov/sov/2016-primary/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
tehama,2016-06-07,primary,11390,4187,15577,73.12,https://elections.cdn.sos.ca.gov/sov/2016-primary/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
colusa,2016-06-07,primary,2798,1531,4329,64.63,https://elections.cdn.sos.ca.gov/sov/2016-primary/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
fresno,2016-06-07,primary,102067,67266,169333,60.28,https://elections.cdn.sos.ca.gov/sov/2016-primary/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
los_angeles,2016-06-07,primary,722079,1303989,2026068,35.64,https://elections.cdn.sos.ca.gov/sov/2016-primary/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
madera,2016-06-07,primary,18663,8278,26941,69.27,https://elections.cdn.sos.ca.gov/sov/2016-primary/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
napa,2016-06-07,primary,41300,2150,43450,95.05,https://elections.cdn.sos.ca.gov/sov/2016-primary/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
nevada,2016-06-07,primary,34595,10572,45167,76.59,https://elections.cdn.sos.ca.gov/sov/2016-primary/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
orange,2016-06-07,primary,408183,283619,691802,59.0,https://elections.cdn.sos.ca.gov/sov/2016-primary/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
placer,2016-06-07,primary,84964,30302,115266,73.71,https://elections.cdn.sos.ca.gov/sov/2016-primary/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
riverside,2016-06-07,primary,276742,127086,403828,68.53,https://elections.cdn.sos.ca.gov/sov/2016-primary/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
sacramento,2016-06-07,primary,228337,112023,340360,67.09,https://elections.cdn.sos.ca.gov/sov/2016-primary/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_bernardino,2016-06-07,primary,200328,139426,339754,58.96,https://elections.cdn.sos.ca.gov/sov/2016-primary/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_diego,2016-06-07,primary,490560,285370,775930,63.22,https://elections.cdn.sos.ca.gov/sov/2016-primary/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_mateo,2016-06-07,primary,127127,63006,190133,66.86,https://elections.cdn.sos.ca.gov/sov/2016-primary/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
santa_clara,2016-06-07,primary,319803,110976,430779,74.24,https://elections.cdn.sos.ca.gov/sov/2016-primary/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_francisco,2018-11-06,general,244962,127886,372848,65.7,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
lake,2018-11-06,general,15416,6049,21465,71.82,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
del_norte,2018-11-06,general,5541,2898,8439,65.66,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
mendocino,2018-11-06,general,29504,4462,33966,86.86,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
tehama,2018-11-06,general,15564,5583,21147,73.6,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
colusa,2018-11-06,general,3235,2580,5815,55.63,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
fresno,2018-11-06,general,163391,93581,256972,63.58,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
los_angeles,2018-11-06,general,1350313,1673104,3023417,44.66,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
madera,2018-11-06,general,34534,4434,38968,88.62,https://elections.cdn.sos.ca.gov/sov/2018-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
